Student Name,Major,Procrastination Activity,Procrastination Hours per Day,Assignment Due in (Days),Stress Level
John Roberts,Marketing,Taking a Nap,2,6,6
Autumn Lozano,Psychology,Binge-watching Netflix,7,2,5
Lori Russo,Business,Online Shopping,3,4,10
Samuel Lewis,Art History,Scrolling TikTok,12,6,10
Thomas Thomas,Computer Science,Scrolling TikTok,8,5,8
Veronica Smith,Marketing,Taking a Nap,4,3,3
Dr. Tiffany Clark,Engineering,Gaming,2,1,9
Lori York,Psychology,Binge-watching Netflix,10,6,9
Aaron Crawford,Business,Scrolling TikTok,4,7,6
Brian King,Psychology,Gaming,11,5,4
Robert Miller,Computer Science,Scrolling TikTok,6,2,10
Ashley Park,Computer Science,Taking a Nap,1,1,1
Mrs. Nancy Winters,Computer Science,Scrolling TikTok,10,7,4
Mary Marsh,Business,Scrolling TikTok,8,4,4
Jonathan Moore,Marketing,Gaming,10,4,6
Michael Ellison,Engineering,Gaming,6,1,8
Cheryl Johnson,Computer Science,Online Shopping,9,6,2
Susan Smith,Computer Science,Taking a Nap,5,4,7
Richard Bailey,Marketing,Binge-watching Netflix,3,2,4
Holly Proctor,Business,Binge-watching Netflix,12,4,4
George Robinson,Engineering,Gaming,9,2,6
Betty Gill,Business,Online Shopping,12,2,6
Robert Thompson,Psychology,Taking a Nap,4,4,9
Angel Marquez,Computer Science,Binge-watching Netflix,1,6,9
Glenn Shaw,Marketing,Scrolling TikTok,2,7,5
Holly Harper,Engineering,Binge-watching Netflix,2,1,3
Dr. Monica Miller,Marketing,Taking a Nap,4,2,7
Karen King,Marketing,Online Shopping,10,6,8
Ross Rose,Engineering,Gaming,12,5,5
John Gray,Art History,Gaming,1,3,8
Mario Jennings II,Art History,Binge-watching Netflix,7,2,3
Alexandra Cruz,Computer Science,Online Shopping,7,4,10
Veronica Harris,Art History,Gaming,10,2,4
Shelly Brown,Psychology,Gaming,1,6,7
Catherine Mendoza,Business,Binge-watching Netflix,12,4,7
Christian Sandoval,Computer Science,Online Shopping,11,2,2
Hunter Mejia,Psychology,Binge-watching Netflix,9,6,7
Ryan Coffey,Art History,Scrolling TikTok,4,4,1
Christopher Robinson,Business,Scrolling TikTok,9,5,2
Roberto Wilkinson,Engineering,Taking a Nap,12,1,8
Mary Wade,Art History,Taking a Nap,5,4,3
Janet Meza,Art History,Gaming,5,6,8
Keith Rodriguez,Engineering,Taking a Nap,4,5,1
James Yoder,Engineering,Scrolling TikTok,7,7,10
Stephen Garcia,Art History,Online Shopping,4,6,10
Dr. Stephen Tucker MD,Marketing,Taking a Nap,4,7,4
Justin Carter,Art History,Online Shopping,4,1,4
Kyle Rogers,Psychology,Scrolling TikTok,1,3,7
Debra Dennis,Art History,Gaming,3,3,4
Brad George,Computer Science,Gaming,7,4,6
Tracy Chambers,Business,Online Shopping,2,4,2
Greg Nguyen,Computer Science,Online Shopping,5,4,3
Michael King,Computer Science,Gaming,8,5,4
Sara Clark,Marketing,Online Shopping,8,1,6
Eric Wheeler,Art History,Scrolling TikTok,8,7,6
Nathan Johnson,Marketing,Binge-watching Netflix,9,4,1
Thomas Hammond,Business,Gaming,7,3,3
Brian Jackson DVM,Computer Science,Online Shopping,3,2,10
Devin Johnson,Art History,Gaming,11,3,2
Timothy Cox,Computer Science,Binge-watching Netflix,4,5,8
Austin Greer DVM,Marketing,Online Shopping,10,6,5
Derek Rhodes,Art History,Gaming,12,3,9
Michael Davis,Engineering,Taking a Nap,9,2,3
Jacob Rogers,Business,Taking a Nap,5,6,6
Kathleen Fisher,Engineering,Gaming,9,5,1
Laura Miller,Business,Online Shopping,6,7,3
Lisa Lopez,Marketing,Taking a Nap,4,4,4
Megan Adams,Computer Science,Gaming,11,1,2
Ricky Martinez,Business,Taking a Nap,7,3,8
Ryan Collins,Computer Science,Online Shopping,5,4,8
Michael Fisher,Business,Binge-watching Netflix,4,1,10
Connie Glenn,Engineering,Binge-watching Netflix,3,2,8
Kathryn Craig,Engineering,Scrolling TikTok,4,3,5
Kathleen Stout,Psychology,Scrolling TikTok,2,2,4
Maria Cochran,Business,Taking a Nap,11,6,8
Jordan Smith,Business,Gaming,8,3,7
Gary Carpenter,Computer Science,Gaming,10,7,9
Michelle Wright,Art History,Binge-watching Netflix,12,7,4
Terry Ryan,Computer Science,Gaming,3,5,9
Samantha Rose,Computer Science,Binge-watching Netflix,9,6,6
Shelly Cox,Engineering,Binge-watching Netflix,8,5,5
Heather Wu,Art History,Online Shopping,10,6,8
Jordan Ponce,Engineering,Gaming,7,1,6
Stacie Gardner,Computer Science,Taking a Nap,8,4,4
Emily Herrera,Psychology,Binge-watching Netflix,9,7,4
Joseph Horton,Psychology,Gaming,12,5,8
Alexis Turner,Psychology,Gaming,5,6,3
Elizabeth Gilbert,Computer Science,Taking a Nap,10,6,10
Aaron Banks,Psychology,Binge-watching Netflix,2,5,6
Lucas Smith,Marketing,Online Shopping,5,1,6
Dustin Hawkins,Marketing,Gaming,7,3,10
Kevin Wise,Engineering,Online Shopping,3,3,1
Taylor Rogers,Art History,Online Shopping,2,1,8
Dr. Heather Kennedy DDS,Business,Online Shopping,12,5,7
Robert Thomas,Marketing,Taking a Nap,9,7,9
Steven Gaines,Psychology,Gaming,11,3,5
Tyler Gray,Marketing,Taking a Nap,7,2,3
Todd Campbell,Marketing,Scrolling TikTok,5,4,5
William Lee,Psychology,Binge-watching Netflix,9,3,5
Tami Taylor,Art History,Taking a Nap,11,2,1
Dr. Brittany Flynn,Engineering,Taking a Nap,3,6,5
Jason Mathews,Computer Science,Scrolling TikTok,2,2,1
Susan Patterson,Computer Science,Binge-watching Netflix,9,1,5
Janet Herrera,Art History,Taking a Nap,9,6,2
Gary Ramsey,Psychology,Scrolling TikTok,8,6,9
Edward Russo,Psychology,Scrolling TikTok,9,1,4
James Norman,Art History,Taking a Nap,9,1,3
Gregory Brown,Engineering,Gaming,6,3,3
Nicole Miller,Engineering,Scrolling TikTok,12,1,4
Louis Nolan,Art History,Gaming,6,4,8
Kenneth David,Art History,Binge-watching Netflix,6,5,9
James Stevens,Engineering,Binge-watching Netflix,4,2,1
Heather Flynn,Psychology,Scrolling TikTok,10,5,6
Monica Jackson,Marketing,Binge-watching Netflix,10,1,7
Courtney Walsh,Marketing,Binge-watching Netflix,2,1,8
Michael Jenkins,Marketing,Scrolling TikTok,4,4,5
Melissa Thomas,Computer Science,Taking a Nap,7,7,10
Carrie Smith,Computer Science,Scrolling TikTok,12,6,7
Donna Morris,Psychology,Online Shopping,11,6,5
Darryl Jackson,Psychology,Scrolling TikTok,2,2,7
Michelle Williams,Engineering,Online Shopping,2,7,3
Shannon Arnold,Business,Binge-watching Netflix,3,1,8
Jordan Lloyd,Marketing,Gaming,6,4,6
Donna Scott,Art History,Binge-watching Netflix,7,2,5
Laura Brown,Art History,Scrolling TikTok,1,1,3
David Jenkins,Psychology,Online Shopping,8,3,7
Sean Harris,Computer Science,Scrolling TikTok,1,5,7
Lawrence Garcia,Art History,Taking a Nap,1,1,9
Jenna Hernandez,Business,Gaming,2,5,2
Ryan Johnson,Marketing,Online Shopping,4,6,8
Michael Taylor,Business,Gaming,11,4,8
Leah Boyd,Art History,Taking a Nap,5,2,2
Tracy Mills,Art History,Gaming,12,3,3
Paul Lewis DDS,Art History,Online Shopping,4,2,2
Alexandra Gonzalez,Business,Binge-watching Netflix,12,6,4
